"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Sacramento County, CA"	"06067"	"55-64 years"	"55-64"	"2009"	"2009"	14	150303	Unreliable
	"Sacramento County, CA"	"06067"	"55-64 years"	"55-64"	"2010"	"2010"	15	155637	Unreliable
	"San Bernardino County, CA"	"06071"	"25-34 years"	"25-34"	"2011"	"2011"	11	289629	Unreliable
	"San Bernardino County, CA"	"06071"	"35-44 years"	"35-44"	"2009"	"2009"	11	273755	Unreliable
	"San Bernardino County, CA"	"06071"	"45-54 years"	"45-54"	"2008"	"2008"	21	271960	7.7
	"San Bernardino County, CA"	"06071"	"45-54 years"	"45-54"	"2009"	"2009"	20	274839	7.3
	"San Bernardino County, CA"	"06071"	"45-54 years"	"45-54"	"2010"	"2010"	19	277294	Unreliable
	"San Bernardino County, CA"	"06071"	"45-54 years"	"45-54"	"2011"	"2011"	21	277854	7.6
	"San Bernardino County, CA"	"06071"	"55-64 years"	"55-64"	"2009"	"2009"	15	188814	Unreliable
	"San Bernardino County, CA"	"06071"	"55-64 years"	"55-64"	"2010"	"2010"	16	197043	Unreliable
	"San Bernardino County, CA"	"06071"	"55-64 years"	"55-64"	"2011"	"2011"	12	207816	Unreliable
	"San Diego County, CA"	"06073"	"15-24 years"	"15-24"	"2007"	"2007"	17	479703	Unreliable
	"San Diego County, CA"	"06073"	"15-24 years"	"15-24"	"2008"	"2008"	21	487292	4.3
	"San Diego County, CA"	"06073"	"15-24 years"	"15-24"	"2009"	"2009"	11	492155	Unreliable
	"San Diego County, CA"	"06073"	"15-24 years"	"15-24"	"2010"	"2010"	30	495845	6.1
	"San Diego County, CA"	"06073"	"15-24 years"	"15-24"	"2011"	"2011"	30	494915	6.1
	"San Diego County, CA"	"06073"	"25-34 years"	"25-34"	"2007"	"2007"	32	448174	7.1
	"San Diego County, CA"	"06073"	"25-34 years"	"25-34"	"2008"	"2008"	36	456707	7.9
	"San Diego County, CA"	"06073"	"25-34 years"	"25-34"	"2009"	"2009"	33	464106	7.1
	"San Diego County, CA"	"06073"	"25-34 years"	"25-34"	"2010"	"2010"	44	470922	9.3
	"San Diego County, CA"	"06073"	"25-34 years"	"25-34"	"2011"	"2011"	45	484925	9.3
	"San Diego County, CA"	"06073"	"35-44 years"	"35-44"	"2007"	"2007"	44	427607	10.3
	"San Diego County, CA"	"06073"	"35-44 years"	"35-44"	"2008"	"2008"	40	424660	9.4
	"San Diego County, CA"	"06073"	"35-44 years"	"35-44"	"2009"	"2009"	53	421194	12.6
	"San Diego County, CA"	"06073"	"35-44 years"	"35-44"	"2010"	"2010"	41	420563	9.7
	"San Diego County, CA"	"06073"	"35-44 years"	"35-44"	"2011"	"2011"	47	421268	11.2
	"San Diego County, CA"	"06073"	"45-54 years"	"45-54"	"2007"	"2007"	88	415914	21.2
