"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Anchorage Borough, AK"	"02020"	"35-44 years"	"35-44"	"2016"	"2016"	13	37753	Unreliable
	"Anchorage Borough, AK"	"02020"	"35-44 years"	"35-44"	"2017"	"2017"	11	37991	Unreliable
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2012"	"2012"	27	556452	4.9
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2013"	"2013"	39	558894	7.0
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2014"	"2014"	37	565263	6.5
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2015"	"2015"	55	569984	9.6
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2016"	"2016"	54	572826	9.4
	"Maricopa County, AZ"	"04013"	"15-24 years"	"15-24"	"2017"	"2017"	56	575181	9.7
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2012"	"2012"	56	557232	10.0
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2013"	"2013"	55	567755	9.7
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2014"	"2014"	65	579958	11.2
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2015"	"2015"	78	594281	13.1
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2016"	"2016"	114	609189	18.7
	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	"2017"	"2017"	104	623763	16.7
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"2012"	"2012"	51	531959	9.6
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"2013"	"2013"	39	538045	7.2
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"2014"	"2014"	51	543375	9.4
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"2015"	"2015"	74	549018	13.5
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"2016"	"2016"	82	551926	14.9
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	"2017"	"2017"	103	560423	18.4
	"Maricopa County, AZ"	"04013"	"45-54 years"	"45-54"	"2012"	"2012"	62	513524	12.1
	"Maricopa County, AZ"	"04013"	"45-54 years"	"45-54"	"2013"	"2013"	56	519943	10.8
	"Maricopa County, AZ"	"04013"	"45-54 years"	"45-54"	"2014"	"2014"	62	527666	11.7
	"Maricopa County, AZ"	"04013"	"45-54 years"	"45-54"	"2015"	"2015"	75	537170	14.0
	"Maricopa County, AZ"	"04013"	"45-54 years"	"45-54"	"2016"	"2016"	89	543880	16.4
	"Maricopa County, AZ"	"04013"	"45-54 years"	"45-54"	"2017"	"2017"	105	547997	19.2
	"Maricopa County, AZ"	"04013"	"55-64 years"	"55-64"	"2012"	"2012"	41	426594	9.6
	"Maricopa County, AZ"	"04013"	"55-64 years"	"55-64"	"2013"	"2013"	29	439009	6.6
	"Maricopa County, AZ"	"04013"	"55-64 years"	"55-64"	"2014"	"2014"	54	452292	11.9
	"Maricopa County, AZ"	"04013"	"55-64 years"	"55-64"	"2015"	"2015"	49	468765	10.5
	"Maricopa County, AZ"	"04013"	"55-64 years"	"55-64"	"2016"	"2016"	78	482093	16.2
	"Maricopa County, AZ"	"04013"	"55-64 years"	"55-64"	"2017"	"2017"	116	494530	23.5
	"Maricopa County, AZ"	"04013"	"65-74 years"	"65-74"	"2012"	"2012"	10	290152	Unreliable
	"Maricopa County, AZ"	"04013"	"65-74 years"	"65-74"	"2014"	"2014"	17	327311	Unreliable
	"Maricopa County, AZ"	"04013"	"65-74 years"	"65-74"	"2015"	"2015"	13	345084	Unreliable
	"Maricopa County, AZ"	"04013"	"65-74 years"	"65-74"	"2016"	"2016"	22	361741	6.1
	"Maricopa County, AZ"	"04013"	"65-74 years"	"65-74"	"2017"	"2017"	27	373897	7.2
	"Mohave County, AZ"	"04015"	"35-44 years"	"35-44"	"2012"	"2012"	11	19557	Unreliable
	"Mohave County, AZ"	"04015"	"35-44 years"	"35-44"	"2015"	"2015"	10	18889	Unreliable
	"Mohave County, AZ"	"04015"	"45-54 years"	"45-54"	"2013"	"2013"	11	26278	Unreliable
	"Mohave County, AZ"	"04015"	"45-54 years"	"45-54"	"2014"	"2014"	14	25415	Unreliable
	"Mohave County, AZ"	"04015"	"45-54 years"	"45-54"	"2015"	"2015"	14	24825	Unreliable
	"Mohave County, AZ"	"04015"	"55-64 years"	"55-64"	"2013"	"2013"	14	32062	Unreliable
	"Mohave County, AZ"	"04015"	"55-64 years"	"55-64"	"2014"	"2014"	16	32246	Unreliable
	"Mohave County, AZ"	"04015"	"55-64 years"	"55-64"	"2015"	"2015"	10	32727	Unreliable
	"Pima County, AZ"	"04019"	"15-24 years"	"15-24"	"2012"	"2012"	17	144445	Unreliable
	"Pima County, AZ"	"04019"	"15-24 years"	"15-24"	"2013"	"2013"	15	157617	Unreliable
	"Pima County, AZ"	"04019"	"15-24 years"	"15-24"	"2014"	"2014"	11	159518	Unreliable
	"Pima County, AZ"	"04019"	"15-24 years"	"15-24"	"2016"	"2016"	19	159737	Unreliable
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2012"	"2012"	23	130119	17.7
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2013"	"2013"	29	123057	23.6
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2014"	"2014"	42	123470	34.0
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2015"	"2015"	33	123556	26.7
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2016"	"2016"	48	125088	38.4
	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	"2017"	"2017"	41	128490	31.9
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2012"	"2012"	31	115365	26.9
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2013"	"2013"	34	114088	29.8
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2014"	"2014"	34	114407	29.7
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2015"	"2015"	33	114135	28.9
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2016"	"2016"	30	113760	26.4
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	"2017"	"2017"	32	115860	27.6
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2012"	"2012"	43	126632	34.0
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2013"	"2013"	46	121754	37.8
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2014"	"2014"	32	119441	26.8
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2015"	"2015"	35	117536	29.8
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2016"	"2016"	26	115837	22.4
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	"2017"	"2017"	25	114552	21.8
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2012"	"2012"	27	126741	21.3
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2013"	"2013"	23	125889	18.3
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2014"	"2014"	35	126686	27.6
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2015"	"2015"	27	127776	21.1
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2016"	"2016"	18	128443	Unreliable
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	"2017"	"2017"	33	128895	25.6
	"Pima County, AZ"	"04019"	"65-74 years"	"65-74"	"2016"	"2016"	12	110310	Unreliable
	"Pima County, AZ"	"04019"	"65-74 years"	"65-74"	"2017"	"2017"	10	112503	Unreliable
	"Pinal County, AZ"	"04021"	"35-44 years"	"35-44"	"2016"	"2016"	10	54400	Unreliable
	"Pinal County, AZ"	"04021"	"45-54 years"	"45-54"	"2012"	"2012"	16	44867	Unreliable
	"Alameda County, CA"	"06001"	"25-34 years"	"25-34"	"2013"	"2013"	13	246048	Unreliable
	"Alameda County, CA"	"06001"	"25-34 years"	"25-34"	"2014"	"2014"	10	256815	Unreliable
	"Alameda County, CA"	"06001"	"25-34 years"	"25-34"	"2015"	"2015"	14	266836	Unreliable
	"Alameda County, CA"	"06001"	"35-44 years"	"35-44"	"2012"	"2012"	10	231451	Unreliable
	"Alameda County, CA"	"06001"	"35-44 years"	"35-44"	"2014"	"2014"	13	238744	Unreliable
	"Alameda County, CA"	"06001"	"35-44 years"	"35-44"	"2015"	"2015"	18	242944	Unreliable
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"2013"	"2013"	10	223903	Unreliable
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"2015"	"2015"	11	228233	Unreliable
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"2016"	"2016"	12	226342	Unreliable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"2013"	"2013"	10	190017	Unreliable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"2014"	"2014"	15	194660	Unreliable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"2015"	"2015"	13	199601	Unreliable
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"2016"	"2016"	14	200861	Unreliable
	"Contra Costa County, CA"	"06013"	"25-34 years"	"25-34"	"2014"	"2014"	17	139613	Unreliable
	"Contra Costa County, CA"	"06013"	"25-34 years"	"25-34"	"2015"	"2015"	13	142466	Unreliable
	"Contra Costa County, CA"	"06013"	"25-34 years"	"25-34"	"2016"	"2016"	13	144873	Unreliable
	"Contra Costa County, CA"	"06013"	"25-34 years"	"25-34"	"2017"	"2017"	13	146811	Unreliable
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"2012"	"2012"	16	164468	Unreliable
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"2014"	"2014"	11	165715	Unreliable
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"2016"	"2016"	12	165181	Unreliable
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"2013"	"2013"	11	139692	Unreliable
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"2016"	"2016"	13	148270	Unreliable
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"2017"	"2017"	12	150989	Unreliable
	"Fresno County, CA"	"06019"	"25-34 years"	"25-34"	"2016"	"2016"	13	148837	Unreliable
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	"2014"	"2014"	17	117248	Unreliable
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	"2015"	"2015"	10	119100	Unreliable
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	"2016"	"2016"	11	119919	Unreliable
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2012"	"2012"	18	114358	Unreliable
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2013"	"2013"	16	113484	Unreliable
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2014"	"2014"	18	113836	Unreliable
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	"2015"	"2015"	21	113323	18.5
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	"2013"	"2013"	11	95901	Unreliable
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	"2014"	"2014"	17	98258	Unreliable
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	"2015"	"2015"	17	100376	Unreliable
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	"2016"	"2016"	14	101625	Unreliable
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	"2017"	"2017"	15	103022	Unreliable
	"Humboldt County, CA"	"06023"	"45-54 years"	"45-54"	"2012"	"2012"	10	17009	Unreliable
	"Humboldt County, CA"	"06023"	"45-54 years"	"45-54"	"2014"	"2014"	10	15763	Unreliable
	"Humboldt County, CA"	"06023"	"55-64 years"	"55-64"	"2015"	"2015"	10	19257	Unreliable
	"Humboldt County, CA"	"06023"	"55-64 years"	"55-64"	"2016"	"2016"	11	19054	Unreliable
	"Imperial County, CA"	"06025"	"45-54 years"	"45-54"	"2015"	"2015"	10	21313	Unreliable
	"Kern County, CA"	"06029"	"25-34 years"	"25-34"	"2012"	"2012"	13	125444	Unreliable
	"Kern County, CA"	"06029"	"25-34 years"	"25-34"	"2013"	"2013"	10	128380	Unreliable
	"Kern County, CA"	"06029"	"25-34 years"	"25-34"	"2014"	"2014"	14	131286	Unreliable
	"Kern County, CA"	"06029"	"25-34 years"	"25-34"	"2015"	"2015"	11	134248	Unreliable
	"Kern County, CA"	"06029"	"25-34 years"	"25-34"	"2017"	"2017"	10	138857	Unreliable
	"Kern County, CA"	"06029"	"35-44 years"	"35-44"	"2013"	"2013"	11	108076	Unreliable
	"Kern County, CA"	"06029"	"35-44 years"	"35-44"	"2015"	"2015"	12	110249	Unreliable
	"Kern County, CA"	"06029"	"35-44 years"	"35-44"	"2017"	"2017"	10	112757	Unreliable
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2012"	"2012"	10	106984	Unreliable
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2013"	"2013"	10	105800	Unreliable
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2014"	"2014"	20	105613	18.9
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2015"	"2015"	22	104674	21.0
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	"2017"	"2017"	16	101783	Unreliable
	"Kern County, CA"	"06029"	"55-64 years"	"55-64"	"2012"	"2012"	13	82967	Unreliable
	"Kern County, CA"	"06029"	"55-64 years"	"55-64"	"2014"	"2014"	22	87869	25.0
	"Kern County, CA"	"06029"	"55-64 years"	"55-64"	"2015"	"2015"	14	90481	Unreliable
	"Kern County, CA"	"06029"	"55-64 years"	"55-64"	"2016"	"2016"	21	92044	22.8
	"Kern County, CA"	"06029"	"55-64 years"	"55-64"	"2017"	"2017"	22	93563	23.5
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2012"	"2012"	22	1503737	1.5
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2013"	"2013"	29	1482642	2.0
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2014"	"2014"	33	1463392	2.3
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2015"	"2015"	33	1433517	2.3
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2016"	"2016"	37	1394445	2.7
	"Los Angeles County, CA"	"06037"	"15-24 years"	"15-24"	"2017"	"2017"	35	1364205	2.6
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2012"	"2012"	47	1511122	3.1
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2013"	"2013"	62	1542584	4.0
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2014"	"2014"	53	1574478	3.4
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2015"	"2015"	55	1600315	3.4
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2016"	"2016"	81	1614407	5.0
	"Los Angeles County, CA"	"06037"	"25-34 years"	"25-34"	"2017"	"2017"	99	1639715	6.0
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2012"	"2012"	53	1416467	3.7
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2013"	"2013"	55	1408709	3.9
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2014"	"2014"	49	1408931	3.5
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2015"	"2015"	70	1403339	5.0
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2016"	"2016"	49	1383875	3.5
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	"2017"	"2017"	68	1388269	4.9
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2012"	"2012"	65	1371062	4.7
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2013"	"2013"	79	1374460	5.7
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2014"	"2014"	78	1390055	5.6
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2015"	"2015"	70	1395986	5.0
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2016"	"2016"	58	1383892	4.2
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	"2017"	"2017"	77	1375895	5.6
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2012"	"2012"	57	1081835	5.3
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2013"	"2013"	74	1111051	6.7
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2014"	"2014"	73	1144743	6.4
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2015"	"2015"	56	1175676	4.8
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2016"	"2016"	73	1188364	6.1
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	"2017"	"2017"	79	1207280	6.5
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	"2012"	"2012"	12	623895	Unreliable
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	"2013"	"2013"	17	656237	Unreliable
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	"2014"	"2014"	20	688159	2.9
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	"2015"	"2015"	13	720357	Unreliable
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	"2016"	"2016"	25	742240	3.4
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	"2017"	"2017"	43	765857	5.6
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2012"	"2012"	24	449478	5.3
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2013"	"2013"	32	446003	7.2
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2014"	"2014"	17	441099	Unreliable
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2015"	"2015"	22	434537	5.1
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2016"	"2016"	26	427163	6.1
	"Orange County, CA"	"06059"	"15-24 years"	"15-24"	"2017"	"2017"	32	422506	7.6
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2012"	"2012"	46	426423	10.8
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2013"	"2013"	37	434557	8.5
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2014"	"2014"	49	442543	11.1
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2015"	"2015"	55	450429	12.2
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2016"	"2016"	52	454417	11.4
	"Orange County, CA"	"06059"	"25-34 years"	"25-34"	"2017"	"2017"	60	461405	13.0
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2012"	"2012"	29	433746	6.7
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2013"	"2013"	44	428803	10.3
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2014"	"2014"	49	426252	11.5
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2015"	"2015"	34	422435	8.0
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2016"	"2016"	39	413930	9.4
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	"2017"	"2017"	37	413694	8.9
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2012"	"2012"	60	450862	13.3
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2013"	"2013"	63	453465	13.9
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2014"	"2014"	59	458181	12.9
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2015"	"2015"	56	460515	12.2
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2016"	"2016"	63	457712	13.8
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	"2017"	"2017"	35	455663	7.7
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2012"	"2012"	32	345860	9.3
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2013"	"2013"	45	356927	12.6
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2014"	"2014"	50	369374	13.5
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2015"	"2015"	58	382225	15.2
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2016"	"2016"	69	390787	17.7
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	"2017"	"2017"	52	400569	13.0
	"Orange County, CA"	"06059"	"65-74 years"	"65-74"	"2013"	"2013"	10	220858	Unreliable
	"Orange County, CA"	"06059"	"65-74 years"	"65-74"	"2014"	"2014"	15	232215	Unreliable
	"Orange County, CA"	"06059"	"65-74 years"	"65-74"	"2015"	"2015"	18	243420	Unreliable
	"Orange County, CA"	"06059"	"65-74 years"	"65-74"	"2016"	"2016"	14	251151	Unreliable
	"Orange County, CA"	"06059"	"65-74 years"	"65-74"	"2017"	"2017"	14	259557	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2012"	"2012"	16	353470	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2013"	"2013"	13	352729	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2014"	"2014"	10	352032	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2015"	"2015"	15	350593	Unreliable
	"Riverside County, CA"	"06065"	"15-24 years"	"15-24"	"2016"	"2016"	12	347917	Unreliable
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2012"	"2012"	21	296935	7.1
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2013"	"2013"	19	305544	Unreliable
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2014"	"2014"	23	314713	7.3
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2015"	"2015"	27	322907	8.4
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2016"	"2016"	19	330030	Unreliable
	"Riverside County, CA"	"06065"	"25-34 years"	"25-34"	"2017"	"2017"	19	337887	Unreliable
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2012"	"2012"	17	295468	Unreliable
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2013"	"2013"	21	294504	7.1
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2014"	"2014"	22	297992	7.4
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2015"	"2015"	18	300355	Unreliable
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2016"	"2016"	14	301953	Unreliable
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	"2017"	"2017"	23	308803	7.4
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2012"	"2012"	30	298801	10.0
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2013"	"2013"	39	299234	13.0
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2014"	"2014"	36	303206	11.9
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2015"	"2015"	26	305121	8.5
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2016"	"2016"	24	305248	7.9
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	"2017"	"2017"	22	306624	7.2
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2012"	"2012"	24	232650	10.3
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2013"	"2013"	36	239967	15.0
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2014"	"2014"	41	249333	16.4
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2015"	"2015"	32	258431	12.4
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2016"	"2016"	34	266405	12.8
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	"2017"	"2017"	30	275109	10.9
	"Riverside County, CA"	"06065"	"65-74 years"	"65-74"	"2015"	"2015"	13	181960	Unreliable
	"Riverside County, CA"	"06065"	"65-74 years"	"65-74"	"2017"	"2017"	10	194550	Unreliable
	"Sacramento County, CA"	"06067"	"25-34 years"	"25-34"	"2012"	"2012"	14	214321	Unreliable
	"Sacramento County, CA"	"06067"	"25-34 years"	"25-34"	"2013"	"2013"	16	218345	Unreliable
