"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Dane County, WI"	"55025"	57878	9632938	600.8
	"Dodge County, WI"	"55027"	17447	1759122	991.8
	"Door County, WI"	"55029"	6388	558106	1144.6
	"Douglas County, WI"	"55031"	8649	873453	990.2
	"Dunn County, WI"	"55033"	6079	858102	708.4
	"Eau Claire County, WI"	"55035"	15239	1961892	776.8
	"Florence County, WI"	"55037"	1125	93398	1204.5
	"Fond du Lac County, WI"	"55039"	18546	2008705	923.3
	"Forest County, WI"	"55041"	2292	189867	1207.2
	"Grant County, WI"	"55043"	9936	1015788	978.2
	"Green County, WI"	"55045"	6619	717712	922.2
	"Green Lake County, WI"	"55047"	4624	381083	1213.4
	"Iowa County, WI"	"55049"	3972	469325	846.3
	"Iron County, WI"	"55051"	1765	123592	1428.1
	"Jackson County, WI"	"55053"	4003	401710	996.5
	"Jefferson County, WI"	"55055"	12592	1630113	772.5
	"Juneau County, WI"	"55057"	5702	520969	1094.5
	"Kenosha County, WI"	"55059"	26454	3244646	815.3
	"Kewaunee County, WI"	"55061"	3678	409621	897.9
	"La Crosse County, WI"	"55063"	18750	2261673	829.0
	"Lafayette County, WI"	"55065"	2802	333058	841.3
	"Langlade County, WI"	"55067"	4628	401225	1153.5
	"Lincoln County, WI"	"55069"	6421	578091	1110.7
	"Manitowoc County, WI"	"55071"	16547	1625032	1018.3
	"Marathon County, WI"	"55073"	21533	2634844	817.2
	"Marinette County, WI"	"55075"	10041	839750	1195.7
	"Marquette County, WI"	"55077"	3501	305258	1146.9
	"Menominee County, WI"	"55078"	801	88552	904.6
	"Milwaukee County, WI"	"55079"	168428	18885325	891.8
	"Monroe County, WI"	"55081"	8218	874773	939.4
	"Oconto County, WI"	"55083"	6922	743798	930.6
	"Oneida County, WI"	"55085"	8564	724851	1181.5
	"Outagamie County, WI"	"55087"	24666	3486163	707.5
	"Ozaukee County, WI"	"55089"	13719	1716651	799.2
	"Pepin County, WI"	"55091"	1474	148065	995.5
	"Pierce County, WI"	"55093"	4991	796989	626.2
	"Polk County, WI"	"55095"	8394	867652	967.4
	"Portage County, WI"	"55097"	9730	1383573	703.3
	"Price County, WI"	"55099"	3731	289834	1287.3
	"Racine County, WI"	"55101"	32941	3868818	851.4
	"Richland County, WI"	"55103"	3617	358363	1009.3
	"Rock County, WI"	"55105"	28010	3168146	884.1
	"Rusk County, WI"	"55107"	3557	295116	1205.3
	"St. Croix County, WI"	"55109"	10181	1590769	640.0
	"Sauk County, WI"	"55111"	11383	1207807	942.5
	"Sawyer County, WI"	"55113"	3943	329459	1196.8
	"Shawano County, WI"	"55115"	8967	826413	1085.1
	"Sheboygan County, WI"	"55117"	21301	2291567	929.5
	"Taylor County, WI"	"55119"	3616	406197	890.2
	"Trempealeau County, WI"	"55121"	5766	569402	1012.6
	"Vernon County, WI"	"55123"	5957	589591	1010.4
	"Vilas County, WI"	"55125"	5469	432018	1265.9
	"Walworth County, WI"	"55127"	17378	2003574	867.4
	"Washburn County, WI"	"55129"	3864	318444	1213.4
	"Washington County, WI"	"55131"	19342	2566507	753.6
	"Waukesha County, WI"	"55133"	60613	7684291	788.8
	"Waupaca County, WI"	"55135"	13891	1042974	1331.9
	"Waushara County, WI"	"55137"	5308	484716	1095.1
	"Winnebago County, WI"	"55139"	27320	3292390	829.8
	"Wood County, WI"	"55141"	14673	1489491	985.1
	"Albany County, WY"	"56001"	3706	706645	524.5
	"Big Horn County, WY"	"56003"	2712	231295	1172.5
	"Campbell County, WY"	"56005"	4226	845985	499.5
	"Carbon County, WY"	"56007"	2720	310050	877.3
	"Converse County, WY"	"56009"	2102	264493	794.7
	"Crook County, WY"	"56011"	1102	133889	823.1
	"Fremont County, WY"	"56013"	7838	770153	1017.7
	"Goshen County, WY"	"56015"	2734	259174	1054.9
	"Hot Springs County, WY"	"56017"	1333	94736	1407.1
	"Johnson County, WY"	"56019"	1686	161307	1045.2
	"Laramie County, WY"	"56021"	14674	1801278	814.6
	"Lincoln County, WY"	"56023"	2384	341792	697.5
	"Natrona County, WY"	"56025"	12832	1481554	866.1
	"Niobrara County, WY"	"56027"	559	48337	1156.5
	"Park County, WY"	"56029"	5096	552133	923.0
	"Platte County, WY"	"56031"	1940	174309	1113.0
	"Sheridan County, WY"	"56033"	6018	568513	1058.6
	"Sublette County, WY"	"56035"	1034	171948	601.3
	"Sweetwater County, WY"	"56037"	5359	830878	645.0
	"Teton County, WY"	"56039"	1566	416661	375.8
	"Uinta County, WY"	"56041"	2591	406121	638.0
	"Washakie County, WY"	"56043"	1722	164309	1048.0
	"Weston County, WY"	"56045"	1370	138496	989.2
"---"
"Dataset: Multiple Cause of Death, 1999-2018"
"Query Parameters:"
"Group By: County"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Mar 9, 2020 8:38:09 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Mar 9, 2020 8:38:09 AM"
"---"
Footnotes:
"1. Data are not available for this area for all of the requested years. See Caveats below for more information."
"2. Data discontinuity due to county line boundary changes in requested years. See Caveats below for more information."
"3. Deaths for Allen Parish, Louisiana are under reported in years 2006 through 2008. See Caveats below for more information."
"---"
Caveats:
"1. Note: County of residence is misidentified in 316 deaths that occurred in the year 2000, for Hartford County, CT (FIPS code"
"09003) and New London County, CT (FIPS code 09011). More information: http://wonder.cdc.gov/wonder/help/mcd.html#errata."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Data for Prince of Wales-Hyder Census Area, AK (FIPS code 02198), Hoonah-Angoon Census Area, AK (FIPS code 02105), Skagway"
"Municipality, AK (FIPS code 02230), Petersburg Borough/Census Area, AK (FIPS code 02195) and Wrangell City and Borough, AK (FIPS"
"code 02275) are only available for 2014 and later; for computational purposes, counts and population estimates for 2013 and"
"earlier are set to zero. Thus, counts and rates shown in multi-year requests for this entity do not include any data for years"
"before 2014, only data for 2014 and later. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Alaska2014."
"4. Data for Prince of Wales-Outer Ketchikan Census Area, AK (FIPS code 02201), Skagway-Hoonah-Angoon Census Area, AK (FIPS code"
"02232) and Wrangell-Petersburg Census Area, AK (FIPS code 02280) are only available for 2013 and earlier; for computational"
"purposes, counts and population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year"
"requests for this entity do not include any data for years after 2013, only data for 2013 and earlier. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Alaska2014."
"5. Data for Bedford city, Va. (FIPS code 51515) are only available for 2013 and earlier; for computational purposes, counts and"
"population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year requests for this entity do"
"not include any data for years after 2014, only data for 2013 and earlier. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Bedford."
"6. There is a discontinuity in the mortality and population data for Bedford County (FIPS code 51019) between years 2013 and"
"2014. The discontinuity occurs because Bedford City, Virginia (FIPS code 51515), formerly an independent city, merged with"
"Bedford County (FIPS code 51019) on July 1, 2013. Beginning in 2014, deaths and population counts for Bedford City, Virginia"
"(FIPS code 51515) are included in Bedford County (FIPS code 51019)."
"7. Data for Denali Borough, Alaska (FIPS code 02068) are only available for 2003 and later; for computational purposes, counts"
"and population estimates for 1999-2002 are set to zero. Thus, counts and rates shown in multi-year requests for this entity do"
"not include any data for years prior to 2003, only data for 2003 and later. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Denali Borough."
"8. There is a discontinuity in the mortality and population data for Yukon-Koyukuk Census Area (FIPS code 02290) between 2002"
"and 2003. The discontinuity occurs because part of Yukon-Koyukuk Census Area became Denali Borough, Alaska (FIPS code 02068) and"
"beginning in 2003, deaths and population counts for this former part of Yukon-Koyukuk are reported for Denali Borough and are no"
"longer included with data for Yukon-Koyukuk."
"9. Death rates for Clifton Forge city, Virginia (FIPS code 51560) are available only for 1999-2000. For 2001 and beyond, death"
"counts and population estimates for Clifton Forge city have been combined with those for Alleghany county, Virginia (FIPS code"
"51005). Death counts and population estimates for this entity from multi-year requests, only reflect data from 1999 and 2000;"
"for 2001 and beyond they have been set to zero. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Clifton Forge."
"10. There is a discontinuity in the mortality and population data for Alleghany, Virginia (FIPS code 51005) between 2000 and"
"2001. It occurs because for 2001 and beyond, death counts and population estimates for Clifton Forge city, Virginia (FIPS code"
"51560) have been combined with those for Alleghany county."
"11. Data for Broomfield, Colorado (FIPS code 08014) are only available for 2003 and later; for computational purposes, counts"
"and population estimates for 1999-2002 are set to zero. Thus, counts and rates shown in multi-year requests for this entity do"
"not include any data for years prior to 2003, only data for 2003 and later. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Broomfield."
"12. There is a discontinuity in the mortality and population data for Adams, Colorado (FIPS code 08001), Boulder, Colorado (FIPS"
"code 08013), Jefferson, Colorado (FIPS code 08059), and Weld, Colorado (FIPS code 080123) between 2002 and 2003. This"
"discontinuity occurs because territory in each of these four counties has been combined to form a new county, Broomfield,"
"Colorado (FIPS code 08014). Beginning in 2003, deaths and population counts for this territory are reported for Broomfield"
"county and are no longer included with data for Adams, Boulder, Jefferson, and Weld."
"13. Deaths for Allen Parish, Louisiana (FIPS code 22003] in years 2006 through 2008 are under reported due to problems with"
"registering the deaths with the Louisiana Vital Statistics Office."
"14. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510)."
"15. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code"
"24005)."
"16. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189)."
"17. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"18. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018"
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for"
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS"
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The"
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal"
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are"
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS"
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are"
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released"
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the"
"1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births."
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to"
"use of the population estimates which were available at the time of release."
"19. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
