"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Darke County, OH"	"39037"	23	51778	44.4
	"Delaware County, OH"	"39041"	13	196463	Unreliable
	"Erie County, OH"	"39043"	38	75107	50.6
	"Fairfield County, OH"	"39045"	31	152597	20.3
	"Franklin County, OH"	"39049"	345	1264518	27.3
	"Fulton County, OH"	"39051"	11	42514	Unreliable
	"Gallia County, OH"	"39053"	11	30015	Unreliable
	"Geauga County, OH"	"39055"	25	94060	26.6
	"Greene County, OH"	"39057"	53	164765	32.2
	"Guernsey County, OH"	"39059"	14	39063	Unreliable
	"Hamilton County, OH"	"39061"	363	809099	44.9
	"Hancock County, OH"	"39063"	20	75872	26.4
	"Highland County, OH"	"39071"	23	43029	53.5
	"Huron County, OH"	"39077"	19	58439	Unreliable
	"Jefferson County, OH"	"39081"	16	66704	Unreliable
	"Knox County, OH"	"39083"	12	60814	Unreliable
	"Lake County, OH"	"39085"	103	228614	45.1
	"Lawrence County, OH"	"39087"	29	60872	47.6
	"Licking County, OH"	"39089"	21	172198	12.2
	"Logan County, OH"	"39091"	16	45165	Unreliable
	"Lorain County, OH"	"39093"	162	306365	52.9
	"Lucas County, OH"	"39095"	182	432488	42.1
	"Madison County, OH"	"39097"	18	43419	Unreliable
	"Mahoning County, OH"	"39099"	93	230008	40.4
	"Marion County, OH"	"39101"	27	65096	41.5
	"Medina County, OH"	"39103"	49	177221	27.6
	"Miami County, OH"	"39109"	40	104679	38.2
	"Montgomery County, OH"	"39113"	334	531239	62.9
	"Muskingum County, OH"	"39119"	12	86068	Unreliable
	"Ottawa County, OH"	"39123"	17	40636	Unreliable
	"Portage County, OH"	"39133"	51	161921	31.5
	"Preble County, OH"	"39135"	22	41247	53.3
	"Richland County, OH"	"39139"	73	121107	60.3
	"Ross County, OH"	"39141"	48	77000	62.3
	"Sandusky County, OH"	"39143"	24	59330	40.5
	"Scioto County, OH"	"39145"	38	76088	49.9
	"Shelby County, OH"	"39149"	16	48623	Unreliable
	"Stark County, OH"	"39151"	114	373612	30.5
	"Summit County, OH"	"39153"	319	540300	59.0
	"Trumbull County, OH"	"39155"	120	201825	59.5
	"Tuscarawas County, OH"	"39157"	15	92420	Unreliable
	"Warren County, OH"	"39165"	61	227063	26.9
	"Washington County, OH"	"39167"	26	60610	42.9
	"Wayne County, OH"	"39169"	42	116470	36.1
	"Williams County, OH"	"39171"	11	37017	Unreliable
	"Wood County, OH"	"39173"	24	130219	18.4
	"Bryan County, OK"	"40013"	15	45573	Unreliable
	"Caddo County, OK"	"40015"	12	29557	Unreliable
	"Canadian County, OK"	"40017"	19	136532	Unreliable
	"Carter County, OK"	"40019"	11	48556	Unreliable
