State,State Code,state_age_prop,age_groups
Mississippi,28,0.06181818181818182,0-24
Mississippi,28,0.2381818181818182,25-34
Mississippi,28,0.24363636363636362,35-44
Mississippi,28,0.24363636363636362,45-54
Mississippi,28,0.1781818181818182,55-64
Mississippi,28,0.034545454545454546,65+
Tennessee,47,0.0751039501039501,0-24
Tennessee,47,0.251039501039501,25-34
Tennessee,47,0.24246361746361747,35-44
Tennessee,47,0.2442827442827443,45-54
Tennessee,47,0.15644490644490644,55-64
Tennessee,47,0.030665280665280667,65+
Arkansas,05,0.08996539792387544,0-24
Arkansas,05,0.23875432525951557,25-34
Arkansas,05,0.23875432525951557,35-44
Arkansas,05,0.23529411764705882,45-54
Arkansas,05,0.16262975778546712,55-64
Arkansas,05,0.03460207612456748,65+
Louisiana,22,0.07034372501998401,0-24
Louisiana,22,0.2709832134292566,25-34
Louisiana,22,0.2829736211031175,35-44
Louisiana,22,0.21183053557154277,45-54
Louisiana,22,0.1334932054356515,55-64
Louisiana,22,0.030375699440447643,65+
Oklahoma,40,0.0685763888888889,0-24
Oklahoma,40,0.2126736111111111,25-34
Oklahoma,40,0.22916666666666666,35-44
Oklahoma,40,0.22743055555555555,45-54
Oklahoma,40,0.2126736111111111,55-64
Oklahoma,40,0.049479166666666664,65+
Texas,48,0.11876430205949656,0-24
Texas,48,0.25308924485125855,25-34
Texas,48,0.20411899313501145,35-44
Texas,48,0.20251716247139587,45-54
Texas,48,0.1734553775743707,55-64
Texas,48,0.04805491990846682,65+
Arizona,04,0.142362313820575,0-24
Arizona,04,0.2507793557325944,25-34
Arizona,04,0.20436439210252857,35-44
Arizona,04,0.18011776931070314,45-54
Arizona,04,0.16834083824038795,55-64
Arizona,04,0.05403533079321095,65+
Colorado,08,0.10739030023094688,0-24
Colorado,08,0.2834872979214781,25-34
Colorado,08,0.21939953810623555,35-44
Colorado,08,0.17551963048498845,45-54
Colorado,08,0.1628175519630485,55-64
Colorado,08,0.05138568129330254,65+
Idaho,16,0.08285714285714285,0-24
Idaho,16,0.27714285714285714,25-34
Idaho,16,0.21428571428571427,35-44
Idaho,16,0.2,45-54
Idaho,16,0.16,55-64
Idaho,16,0.06571428571428571,65+
Montana,30,0.09287227067561514,0-24
Montana,30,0.2643287703844431,25-34
Montana,30,0.2428967079208396,35-44
Montana,30,0.12859237478162094,45-54
Montana,30,0.21432062463603493,55-64
Montana,30,0.05698925160144633,65+
Nevada,32,0.07607843137254902,0-24
Nevada,32,0.18980392156862744,25-34
Nevada,32,0.1772549019607843,35-44
Nevada,32,0.24627450980392157,45-54
Nevada,32,0.2227450980392157,55-64
Nevada,32,0.08784313725490196,65+
New Mexico,35,0.09345794392523364,0-24
New Mexico,35,0.25327102803738316,25-34
New Mexico,35,0.2205607476635514,35-44
New Mexico,35,0.20654205607476636,45-54
New Mexico,35,0.17196261682242991,55-64
New Mexico,35,0.05420560747663551,65+
Utah,49,0.09247311827956989,0-24
Utah,49,0.24946236559139784,25-34
Utah,49,0.24731182795698925,35-44
Utah,49,0.196415770609319,45-54
Utah,49,0.17491039426523297,55-64
Utah,49,0.03942652329749104,65+
Wyoming,56,0.07746478873239436,0-24
Wyoming,56,0.19014084507042253,25-34
Wyoming,56,0.22535211267605634,35-44
Wyoming,56,0.23943661971830985,45-54
Wyoming,56,0.19718309859154928,55-64
Wyoming,56,0.07042253521126761,65+
Alaska,02,0.08275862068965517,0-24
Alaska,02,0.2655172413793103,25-34
Alaska,02,0.22758620689655173,35-44
Alaska,02,0.21379310344827587,45-54
Alaska,02,0.1724137931034483,55-64
Alaska,02,0.03793103448275862,65+
California,06,0.09456711214410227,0-24
California,06,0.23169668797210924,25-34
California,06,0.1741719930273097,35-44
California,06,0.19407321324811155,45-54
California,06,0.23053457292271934,55-64
California,06,0.07495642068564788,65+
Hawaii,15,0.078125,0-24
Hawaii,15,0.14583333333333334,25-34
Hawaii,15,0.19791666666666666,35-44
Hawaii,15,0.17708333333333334,45-54
Hawaii,15,0.296875,55-64
Hawaii,15,0.10416666666666667,65+
Oregon,41,0.094,0-24
Oregon,41,0.232,25-34
Oregon,41,0.231,35-44
Oregon,41,0.191,45-54
Oregon,41,0.184,55-64
Oregon,41,0.068,65+
Washington,53,0.09021884769986602,0-24
Washington,53,0.23849933005806165,25-34
Washington,53,0.19115676641357748,35-44
Washington,53,0.2108083966056275,45-54
Washington,53,0.20678874497543545,55-64
Washington,53,0.06252791424743188,65+
