"Notes"	"Census Division"	"Census Division Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2012"	"2012"	"35-44 years"	"35-44"	251	1937093	13.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2012"	"2012"	"45-54 years"	"45-54"	301	2380271	12.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2012"	"2012"	"55-64 years"	"55-64"	144	1969221	7.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2012"	"2012"	"65-74 years"	"65-74"	20	1204739	1.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	719285	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	352735	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2012"	"2012"			1216	15015550	8.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	163128	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	681202	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	1923069	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"15-24 years"	"15-24"	202	1959575	10.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"25-34 years"	"25-34"	399	1732034	23.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"35-44 years"	"35-44"	257	1896619	13.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"45-54 years"	"45-54"	301	2345716	12.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"55-64 years"	"55-64"	169	2011123	8.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"65-74 years"	"65-74"	26	1260725	2.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	717575	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	361973	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2013"	"2013"			1364	15052739	9.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	162153	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	677460	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	1901447	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"15-24 years"	"15-24"	198	1968503	10.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"25-34 years"	"25-34"	402	1748936	23.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"35-44 years"	"35-44"	282	1871609	15.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"45-54 years"	"45-54"	308	2311822	13.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"55-64 years"	"55-64"	174	2053677	8.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"65-74 years"	"65-74"	30	1309015	2.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	719243	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	367648	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2014"	"2014"			1404	15091513	9.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	162509	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	674178	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	1879267	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"15-24 years"	"15-24"	220	1965576	11.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"25-34 years"	"25-34"	502	1761166	28.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"35-44 years"	"35-44"	328	1847411	17.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"45-54 years"	"45-54"	322	2276138	14.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"55-64 years"	"55-64"	189	2096682	9.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"65-74 years"	"65-74"	27	1358254	2.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	720879	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	372648	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2015"	"2015"			1602	15114708	10.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	160432	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	669679	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	1862205	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"15-24 years"	"15-24"	313	1954945	16.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"25-34 years"	"25-34"	866	1767449	49.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"35-44 years"	"35-44"	542	1816482	29.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"45-54 years"	"45-54"	494	2223812	22.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"55-64 years"	"55-64"	308	2126494	14.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"65-74 years"	"65-74"	44	1402489	3.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	727395	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	376934	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2016"	"2016"			2584	15088316	17.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	160461	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	673386	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	1848462	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"15-24 years"	"15-24"	320	1940519	16.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"25-34 years"	"25-34"	980	1790247	54.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"35-44 years"	"35-44"	691	1819780	38.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"45-54 years"	"45-54"	599	2177698	27.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"55-64 years"	"55-64"	390	2158007	18.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"65-74 years"	"65-74"	63	1445088	4.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"75-84 years"	"75-84"	Suppressed	745986	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	379395	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"	"2017"	"2017"			3063	15139029	20.2
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Large Fringe Metro"	"2"					15276	164818147	9.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	72876	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	285875	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	783890	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"15-24 years"	"15-24"	24	864475	2.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"25-34 years"	"25-34"	50	698092	7.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"35-44 years"	"35-44"	51	861190	5.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"45-54 years"	"45-54"	55	933364	5.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"55-64 years"	"55-64"	23	712830	3.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	423409	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	322156	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	133368	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2007"	"2007"			205	6091525	3.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	72833	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	288296	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	778595	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"15-24 years"	"15-24"	30	869967	3.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"25-34 years"	"25-34"	51	704111	7.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"35-44 years"	"35-44"	54	840707	6.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"45-54 years"	"45-54"	75	941979	8.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"55-64 years"	"55-64"	24	732882	3.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	439278	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	318438	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	136995	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2008"	"2008"			241	6124081	3.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	71386	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	289494	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	775828	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"15-24 years"	"15-24"	42	874920	4.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"25-34 years"	"25-34"	60	711300	8.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"35-44 years"	"35-44"	60	815674	7.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"45-54 years"	"45-54"	59	949886	6.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"55-64 years"	"55-64"	17	758451	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	451241	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	313393	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	140825	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2009"	"2009"			242	6152398	3.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	69646	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	289840	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	774302	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"15-24 years"	"15-24"	41	874963	4.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"25-34 years"	"25-34"	48	717183	6.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"35-44 years"	"35-44"	63	798339	7.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"45-54 years"	"45-54"	70	951366	7.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"55-64 years"	"55-64"	37	781928	4.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	459366	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	310159	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	144002	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2010"	"2010"			271	6171094	4.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	69310	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	285713	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	766229	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"15-24 years"	"15-24"	49	874210	5.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"25-34 years"	"25-34"	92	730475	12.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"35-44 years"	"35-44"	52	775902	6.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"45-54 years"	"45-54"	66	941290	7.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"55-64 years"	"55-64"	38	814204	4.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"65-74 years"	"65-74"	Suppressed	471823	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	306782	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	149323	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2011"	"2011"			305	6185261	4.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	68358	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	283537	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	762119	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"15-24 years"	"15-24"	41	873253	4.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"25-34 years"	"25-34"	107	740407	14.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"35-44 years"	"35-44"	87	760965	11.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"45-54 years"	"45-54"	82	927583	8.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"55-64 years"	"55-64"	45	820391	5.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"65-74 years"	"65-74"	Suppressed	504070	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	303986	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	151941	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2012"	"2012"			374	6196610	6.0
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	69132	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	281593	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	758277	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"15-24 years"	"15-24"	63	866092	7.3
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"25-34 years"	"25-34"	131	754804	17.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"35-44 years"	"35-44"	103	748021	13.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"45-54 years"	"45-54"	115	910282	12.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"55-64 years"	"55-64"	51	833734	6.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"65-74 years"	"65-74"	Suppressed	529446	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	301656	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	155215	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2013"	"2013"			476	6208252	7.7
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	68940	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	281032	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	753164	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"15-24 years"	"15-24"	93	860479	10.8
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"25-34 years"	"25-34"	137	765313	17.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"35-44 years"	"35-44"	128	737752	17.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"45-54 years"	"45-54"	127	893974	14.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"55-64 years"	"55-64"	55	845240	6.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"65-74 years"	"65-74"	14	552461	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	302246	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	155861	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2014"	"2014"			556	6216462	8.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	69307	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	280952	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	747290	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2015"	"2015"	"15-24 years"	"15-24"	89	855526	10.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"Medium Metro"	"3"	"2015"	"2015"	"25-34 years"	"25-34"	216	773232	27.9
