"Notes"	"Census Division"	"Census Division Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"25-34 years"	"25-34"	32	335839	9.5
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"35-44 years"	"35-44"	64	298966	21.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"45-54 years"	"45-54"	75	315467	23.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"55-64 years"	"55-64"	30	241879	12.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	140465	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	98705	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	48989	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2009"	"2009"			219	2234185	9.8
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	25677	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	101961	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	254996	Suppressed
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"15-24 years"	"15-24"	14	371299	Unreliable
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"25-34 years"	"25-34"	32	338872	9.4
	"Division 1: New England"	"CENS-D1"	"Large Central Metro"	"1"	"2010"	"2010"	"35-44 years"	"35-44"	47	294231	16.0
