"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Small Metro"	"4"	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"55-64 years"	"55-64"	57	400458	14.2
	"Small Metro"	"4"	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"65-74 years"	"65-74"	20	347367	5.8
	"Small Metro"	"4"	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	182825	Suppressed
	"Small Metro"	"4"	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	66896	Suppressed
	"Small Metro"	"4"	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 8: Mountain"	"CENS-D8"	"2018"	"2018"			311	3092717	10.1
"Total"	"Small Metro"	"4"	"Division 8: Mountain"	"CENS-D8"					3423	35329948	9.7
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	40299	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	152147	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	388903	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"15-24 years"	"15-24"	16	437857	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"25-34 years"	"25-34"	29	355008	8.2
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"35-44 years"	"35-44"	47	368233	12.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"45-54 years"	"45-54"	63	406168	15.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"55-64 years"	"55-64"	37	331316	11.2
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	194205	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	127011	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	51121	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2007"	"2007"			202	2852268	7.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	41003	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	155524	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	389900	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"15-24 years"	"15-24"	23	438668	5.2
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"25-34 years"	"25-34"	32	364157	8.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"35-44 years"	"35-44"	37	364550	10.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"45-54 years"	"45-54"	81	407966	19.9
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"55-64 years"	"55-64"	33	344513	9.6
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	203542	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	127038	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	53024	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2008"	"2008"			214	2889885	7.4
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	39452	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	157922	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	392474	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"15-24 years"	"15-24"	23	435588	5.3
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"25-34 years"	"25-34"	41	371073	11.0
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"35-44 years"	"35-44"	51	359252	14.2
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"45-54 years"	"45-54"	73	406923	17.9
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"55-64 years"	"55-64"	36	357614	10.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	213029	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	126700	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	55046	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2009"	"2009"			232	2915073	8.0
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	38217	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	159147	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	395656	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"15-24 years"	"15-24"	20	434382	4.6
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"25-34 years"	"25-34"	39	376621	10.4
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"35-44 years"	"35-44"	43	357272	12.0
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"45-54 years"	"45-54"	74	404891	18.3
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"55-64 years"	"55-64"	40	366991	10.9
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	219379	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	127425	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	56449	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2010"	"2010"			229	2936430	7.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	39152	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	158315	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	395803	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"15-24 years"	"15-24"	25	441187	5.7
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"25-34 years"	"25-34"	44	381769	11.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"35-44 years"	"35-44"	58	353795	16.4
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"45-54 years"	"45-54"	62	397076	15.6
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"55-64 years"	"55-64"	60	380583	15.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"65-74 years"	"65-74"	Suppressed	229539	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	128832	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	58884	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2011"	"2011"			261	2964935	8.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	38910	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	157524	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	394058	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"15-24 years"	"15-24"	20	439648	4.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"25-34 years"	"25-34"	34	382816	8.9
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"35-44 years"	"35-44"	52	352309	14.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"45-54 years"	"45-54"	72	388142	18.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"55-64 years"	"55-64"	50	382908	13.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"65-74 years"	"65-74"	17	246486	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	130534	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	60091	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2012"	"2012"			251	2973426	8.4
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	38635	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	156062	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	395774	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"15-24 years"	"15-24"	18	440999	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"25-34 years"	"25-34"	49	385835	12.7
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"35-44 years"	"35-44"	41	351634	11.7
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"45-54 years"	"45-54"	55	378494	14.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"55-64 years"	"55-64"	51	384557	13.3
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"65-74 years"	"65-74"	11	261471	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	132921	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	60730	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2013"	"2013"			226	2987112	7.6
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	37932	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	154931	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	395664	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"15-24 years"	"15-24"	24	439659	5.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"25-34 years"	"25-34"	44	392881	11.2
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"35-44 years"	"35-44"	42	353400	11.9
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"45-54 years"	"45-54"	55	374420	14.7
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"55-64 years"	"55-64"	60	388129	15.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"65-74 years"	"65-74"	15	275715	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	136296	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	61763	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2014"	"2014"			244	3010790	8.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	38915	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	155323	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	396106	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"15-24 years"	"15-24"	10	435315	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"25-34 years"	"25-34"	45	401098	11.2
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"35-44 years"	"35-44"	40	356171	11.2
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"45-54 years"	"45-54"	67	370815	18.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"55-64 years"	"55-64"	59	391814	15.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"65-74 years"	"65-74"	14	290132	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	139960	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	62909	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2015"	"2015"			240	3038558	7.9
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	38764	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	156863	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	398584	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"15-24 years"	"15-24"	29	431326	6.7
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"25-34 years"	"25-34"	41	407819	10.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"35-44 years"	"35-44"	33	358735	9.2
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"45-54 years"	"45-54"	53	368126	14.4
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"55-64 years"	"55-64"	50	395368	12.6
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"65-74 years"	"65-74"	20	303595	6.6
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	144427	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	63922	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2016"	"2016"			229	3067529	7.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	38340	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	157946	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	402003	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"15-24 years"	"15-24"	17	428410	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"25-34 years"	"25-34"	52	417241	12.5
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"35-44 years"	"35-44"	53	367126	14.4
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"45-54 years"	"45-54"	38	363961	10.4
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"55-64 years"	"55-64"	53	397872	13.3
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"65-74 years"	"65-74"	17	312368	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"75-84 years"	"75-84"	Suppressed	147587	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	63342	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2017"	"2017"			237	3096196	7.7
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	37851	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	158438	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	404390	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"15-24 years"	"15-24"	16	426360	Unreliable
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"25-34 years"	"25-34"	54	422817	12.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"35-44 years"	"35-44"	52	375534	13.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"45-54 years"	"45-54"	36	358280	10.0
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"55-64 years"	"55-64"	52	396745	13.1
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"65-74 years"	"65-74"	22	323062	6.8
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	155676	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	63786	Suppressed
	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"	"2018"	"2018"			237	3122939	7.6
"Total"	"Small Metro"	"4"	"Division 9: Pacific"	"CENS-D9"					2802	35855141	7.8
"Total"	"Small Metro"	"4"							28759	347194769	8.3
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	11173	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	44536	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	132890	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"15-24 years"	"15-24"	15	145809	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"25-34 years"	"25-34"	28	110948	25.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"35-44 years"	"35-44"	35	155738	22.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"45-54 years"	"45-54"	29	187617	15.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"55-64 years"	"55-64"	Suppressed	149712	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	82211	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	56216	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	23825	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"			118	1100675	10.7
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	10911	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	44726	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	130581	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"15-24 years"	"15-24"	Suppressed	144415	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"25-34 years"	"25-34"	18	111635	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"35-44 years"	"35-44"	21	150625	13.9
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"45-54 years"	"45-54"	31	187738	16.5
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"55-64 years"	"55-64"	11	154578	Unreliable
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	86462	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	55735	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	24600	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"			90	1102006	8.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	10413	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	44354	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	128704	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"15-24 years"	"15-24"	Suppressed	142715	Suppressed
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"25-34 years"	"25-34"	26	112157	23.2
	"Micropolitan (Nonmetro)"	"5"	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"35-44 years"	"35-44"	20	144044	13.9
