"Notes"	"Census Division"	"Census Division Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2008"	"2008"	117	2917701	4.0
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2009"	"2009"	155	2896428	5.4
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2010"	"2010"	152	2878877	5.3
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2011"	"2011"	151	2885095	5.2
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2012"	"2012"	137	2891892	4.7
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2013"	"2013"	149	2909308	5.1
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2014"	"2014"	156	2920621	5.3
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2015"	"2015"	156	2926346	5.3
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2016"	"2016"	230	2908106	7.9
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2017"	"2017"	221	2885671	7.7
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2018"	"2018"	221	2870562	7.7
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2007"	"2007"	152	2541093	6.0
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2008"	"2008"	227	2594336	8.7
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2009"	"2009"	281	2654327	10.6
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2010"	"2010"	292	2692446	10.8
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2011"	"2011"	310	2740910	11.3
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2012"	"2012"	319	2767717	11.5
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2013"	"2013"	311	2786020	11.2
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2014"	"2014"	381	2803148	13.6
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2015"	"2015"	374	2810195	13.3
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2016"	"2016"	501	2819024	17.8
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2017"	"2017"	497	2840841	17.5
	"Division 4: West North Central"	"CENS-D4"	"25-34 years"	"25-34"	"2018"	"2018"	583	2851647	20.4
