"Notes"	"Census Division"	"Census Division Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2007"	"2007"	Suppressed	811355	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2008"	"2008"	Suppressed	833150	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2009"	"2009"	Suppressed	857917	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2010"	"2010"	Suppressed	876161	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2011"	"2011"	Suppressed	906579	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2012"	"2012"	10	925556	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2013"	"2013"	Suppressed	945953	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2014"	"2014"	Suppressed	955371	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2015"	"2015"	Suppressed	964309	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2016"	"2016"	Suppressed	971594	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2017"	"2017"	11	995840	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	"2018"	"2018"	12	992855	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	603996	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	593113	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	578934	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	570022	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	571733	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	556664	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	556371	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	555705	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	559001	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	554902	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	550064	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	537053	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	2390199	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	2390246	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	2379601	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	2375215	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2011"	"2011"	Suppressed	2335699	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	2306282	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2013"	"2013"	Suppressed	2271383	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	2256703	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2015"	"2015"	Suppressed	2248741	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2016"	"2016"	Suppressed	2248848	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	2252111	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	"2018"	"2018"	Suppressed	2243444	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2007"	"2007"	Suppressed	6312021	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2008"	"2008"	Suppressed	6266765	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	6239950	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	6215977	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2011"	"2011"	Suppressed	6158014	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2012"	"2012"	Suppressed	6129800	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	6094425	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	6038966	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2015"	"2015"	Suppressed	5973873	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	5910374	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2017"	"2017"	Suppressed	5874441	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"5-14 years"	"5-14"	"2018"	"2018"	Suppressed	5847098	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2007"	"2007"	340	6568955	5.2
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2008"	"2008"	372	6553030	5.7
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2009"	"2009"	345	6535089	5.3
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2010"	"2010"	412	6509827	6.3
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2011"	"2011"	421	6504747	6.5
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2012"	"2012"	457	6489442	7.0
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2013"	"2013"	502	6488635	7.7
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2014"	"2014"	548	6469546	8.5
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2015"	"2015"	641	6424632	10.0
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2016"	"2016"	825	6367115	13.0
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2017"	"2017"	877	6313071	13.9
	"Division 3: East North Central"	"CENS-D3"	"15-24 years"	"15-24"	"2018"	"2018"	691	6246086	11.1
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2007"	"2007"	541	5859529	9.2
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2008"	"2008"	714	5872845	12.2
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2009"	"2009"	715	5888150	12.1
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2010"	"2010"	842	5899104	14.3
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2011"	"2011"	983	5950156	16.5
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2012"	"2012"	1092	5969346	18.3
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2013"	"2013"	1232	5997861	20.5
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2014"	"2014"	1444	6029029	24.0
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2015"	"2015"	1833	6062033	30.2
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2016"	"2016"	2618	6120042	42.8
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2017"	"2017"	3092	6169101	50.1
	"Division 3: East North Central"	"CENS-D3"	"25-34 years"	"25-34"	"2018"	"2018"	2657	6226527	42.7
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2007"	"2007"	679	6464986	10.5
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2008"	"2008"	785	6314502	12.4
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2009"	"2009"	739	6151629	12.0
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2010"	"2010"	808	6050191	13.4
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2011"	"2011"	858	5933256	14.5
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2012"	"2012"	942	5867856	16.1
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2013"	"2013"	1019	5825670	17.5
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2014"	"2014"	1328	5791591	22.9
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2015"	"2015"	1607	5755488	27.9
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2016"	"2016"	2225	5685797	39.1
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2017"	"2017"	2655	5687134	46.7
	"Division 3: East North Central"	"CENS-D3"	"35-44 years"	"35-44"	"2018"	"2018"	2434	5721024	42.5
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2007"	"2007"	795	6916728	11.5
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2008"	"2008"	853	6949049	12.3
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2009"	"2009"	919	6963746	13.2
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2010"	"2010"	1001	6943624	14.4
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2011"	"2011"	1092	6843187	16.0
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2012"	"2012"	1116	6723493	16.6
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2013"	"2013"	1219	6591261	18.5
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2014"	"2014"	1332	6478003	20.6
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2015"	"2015"	1482	6376453	23.2
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2016"	"2016"	1972	6254671	31.5
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2017"	"2017"	2324	6139507	37.9
	"Division 3: East North Central"	"CENS-D3"	"45-54 years"	"45-54"	"2018"	"2018"	1945	5992168	32.5
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2007"	"2007"	229	5136067	4.5
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2008"	"2008"	315	5282409	6.0
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2009"	"2009"	345	5476719	6.3
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2010"	"2010"	415	5646424	7.3
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2011"	"2011"	452	5893221	7.7
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2012"	"2012"	497	5967768	8.3
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2013"	"2013"	660	6088043	10.8
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2014"	"2014"	827	6184430	13.4
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2015"	"2015"	969	6274629	15.4
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2016"	"2016"	1315	6324595	20.8
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2017"	"2017"	1571	6364638	24.7
	"Division 3: East North Central"	"CENS-D3"	"55-64 years"	"55-64"	"2018"	"2018"	1470	6373402	23.1
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2007"	"2007"	43	3018950	1.4
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2008"	"2008"	49	3131572	1.6
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2009"	"2009"	50	3222540	1.6
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2010"	"2010"	52	3277309	1.6
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2011"	"2011"	67	3364518	2.0
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2012"	"2012"	64	3576938	1.8
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2013"	"2013"	83	3742434	2.2
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2014"	"2014"	135	3899968	3.5
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2015"	"2015"	158	4055056	3.9
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2016"	"2016"	199	4201857	4.7
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2017"	"2017"	277	4368151	6.3
	"Division 3: East North Central"	"CENS-D3"	"65-74 years"	"65-74"	"2018"	"2018"	329	4484534	7.3
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2007"	"2007"	Suppressed	2090951	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2008"	"2008"	10	2073412	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2009"	"2009"	18	2046939	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2010"	"2010"	11	2042872	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2011"	"2011"	14	2041571	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2012"	"2012"	14	2037611	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2013"	"2013"	19	2045408	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2014"	"2014"	12	2062777	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2015"	"2015"	18	2075389	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2016"	"2016"	21	2103100	1.0
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2017"	"2017"	36	2172033	1.7
	"Division 3: East North Central"	"CENS-D3"	"75-84 years"	"75-84"	"2018"	"2018"	30	2264104	1.3
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2007"	"2007"	Suppressed	825610	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2008"	"2008"	Suppressed	848177	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2009"	"2009"	Suppressed	872557	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2010"	"2010"	13	890999	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2011"	"2011"	Suppressed	922982	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2012"	"2012"	Suppressed	941372	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2013"	"2013"	12	960689	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2014"	"2014"	Suppressed	972321	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2015"	"2015"	Suppressed	981716	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2016"	"2016"	12	984672	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2017"	"2017"	10	994993	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"85+ years"	"85+"	"2018"	"2018"	Suppressed	996443	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	282089	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	280392	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	275191	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	271732	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	268377	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	266103	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	268894	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	271280	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	273258	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	272306	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	269465	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	264274	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	1076191	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	1092977	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	1106864	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	1117748	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2011"	"2011"	Suppressed	1107296	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2012"	"2012"	Suppressed	1098693	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2013"	"2013"	Suppressed	1089526	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	1089432	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2015"	"2015"	Suppressed	1090919	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2016"	"2016"	Suppressed	1097292	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	1101243	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1-4 years"	"1-4"	"2018"	"2018"	Suppressed	1101078	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2007"	"2007"	Suppressed	2705066	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2008"	"2008"	Suppressed	2711202	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	2725920	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	2739138	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2011"	"2011"	Suppressed	2743769	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2012"	"2012"	Suppressed	2760194	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	2778751	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	2782446	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2015"	"2015"	Suppressed	2782318	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	2779995	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2017"	"2017"	Suppressed	2789502	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"5-14 years"	"5-14"	"2018"	"2018"	Suppressed	2794039	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"15-24 years"	"15-24"	"2007"	"2007"	118	2930806	4.0
