region,county.name,death_cost,death_cost_pc,health_cost,health_cost_pc,criminal_cost,criminal_cost_pc,productivity_cost,productivity_cost_pc,total_population,nonfatal_cost,total_cost,per_capita_nf_cost,per_capita_total_cost
1023,choctaw,6602426.898690837,496.908775396315,541306.4006206003,40.73954998273503,336716.43999693944,25.341795739966845,666954.9061045562,50.19604922891218,13287,1544977.746722096,8147404.645412933,116.27739495161407,613.1861703479291
1025,clarke,10974576.147520712,441.6861652320486,997156.5937815928,40.131870800563156,647903.6814537701,26.07573073021975,1339440.4875506393,53.90753360770473,24847,2984500.762786002,13959076.910306714,120.11513513848762,561.8013003705363
1027,clay,4924842.744547028,365.263127237783,496782.25885478285,36.84508335346606,374609.7758934726,27.783859370575733,879324.5504543892,65.21727734587178,13483,1750716.5852026446,6675559.329749673,129.84622006991356,495.10934730769657
1029,cleburne,11174989.07405342,745.4465395272777,1013511.7276499602,67.60801331798814,416507.8358243008,27.783859370575733,1111004.405744656,74.11142723932066,14991,2541023.969218917,13716013.043272337,169.50329992788454,914.9498394551622
1031,coffee,24523305.03439568,480.9339890254296,2451584.7102710465,48.07877292602707,1329627.5856646353,26.07573073021975,4053448.2829962857,79.49340634614512,50991,7834660.578931968,32357965.61332765,153.64791000239194,634.5818990278216
1033,colbert,23402472.972865295,430.3744776811022,2371616.4418311426,43.6143303571573,1311258.4772106514,24.114211471957837,3815543.0481870663,70.16832572939049,54377,7498417.96722886,30900890.940094154,137.89686755850562,568.2713452396079
1035,conecuh,13579281.887575861,1069.487429123089,992875.172435539,78.19761931444742,331083.55308160017,26.07573073021975,582125.3806050972,45.84747425416218,12697,1906084.1061222362,15485365.993698098,150.12082429882935,1219.6082534219183
1037,coosa,7123660.42189399,655.7124836058532,612653.4277102721,56.39298855948749,301843.8482019348,27.783859370575733,716186.5628295516,65.92291631347125,10864,1630683.8387417584,8754344.260635749,150.09976424353445,805.8122478493877
1039,covington,12916538.6373597,342.3504104895359,1402485.8311711496,37.172621356811725,983811.2447204612,26.075730730219757,2073707.1967069053,54.96321653653437,37729,4460004.272598516,17376542.909958214,118.21156862356585,460.5619791131017
1041,crenshaw,7948681.19885031,572.0121760830679,673713.287197015,48.48253362097115,362348.3542271337,26.075730730219753,834649.0483924671,60.063978727149326,13896,1870710.6898166158,9819391.888666926,134.62224307834023,706.634419161408
1043,cullman,77536971.17099503,953.5266266293845,5611663.182192924,69.01056596725029,1960871.2200537233,24.114211471957834,5048942.161561861,62.09039010233977,81316,12621476.563808508,90158447.73480353,155.21516754154788,1108.7417941709323
1045,dale,31339453.12862583,631.7546541541683,2953224.333598406,59.53241142577471,1293538.7743340114,26.075730730219753,3268610.048437645,65.89009713221209,49607,7515373.156370062,38854826.28499589,151.49823928820655,783.2528934423749
1047,dallas,16500266.682070587,398.3070217271903,1592171.0629474085,38.4341008774057,1049809.2303238665,25.341795739966845,1909814.4642879127,46.10183132061779,41426,4551794.757559188,21052061.439629775,109.87772793799034,508.1847496651807
1049,dekalb,57829722.084102765,815.2264979362359,5546479.01129183,78.18880148993938,1710589.819186273,24.114211471957837,3923541.5904921284,55.31022725083001,70937,11180610.420970231,69010332.505073,157.61324021272722,972.8397381489631
1051,elmore,31169328.216296982,385.0109096964683,3184930.2298475504,39.341011028663985,2051595.7577204956,25.34179573996684,7270208.609269451,89.803335218319,80957,12506734.596837498,43676062.81313448,154.48614198694983,539.497051683418
1053,escambia,60662906.38768665,1601.6608947244,4671327.049738285,123.33536764985571,987618.3014070732,26.075730730219753,2142005.323426988,56.55459599807229,37875,7800950.674572347,68463857.06225899,205.96569437814776,1807.6265891025475
1055,etowah,83027312.91856766,803.2595118037176,8058753.814658948,77.96555648209657,2492517.240375978,24.114211471957837,6389552.866703576,61.81663522443792,103363,16940823.9217385,99968136.84030616,163.8964031784923,967.1559149822099
1057,fayette,16597721.177523995,988.9603275650358,1294518.1373516829,77.1327019812717,404708.81113386835,24.114211471957834,949888.1178409364,56.59823141517824,16783,2649115.066326488,19246836.243850484,157.84514486840777,1146.8054724334436
1059,franklin,29882540.177831195,946.4586886843567,2610394.151497078,82.67805249729446,761357.9988041248,24.114211471957837,1705412.6571939115,54.01490695194981,31573,5077164.807495114,34959704.98532631,160.80717092120213,1107.265859605559
1061,geneva,12923515.55900504,482.851319223054,1267315.0008621153,47.349710474952936,697916.9329943318,26.075730730219757,1593168.407727161,59.524319362120714,26765,3558400.341583608,16481915.900588648,132.94976056729342,615.8010797903474
1063,greene,10108817.844446857,1177.223459234524,634662.422246409,73.90968001006277,217610.00001909523,25.341795739966837,357859.83434982545,41.674605141472625,8587,1210132.2566153298,11318950.101062186,140.92608089150224,1318.149540126026
1065,hale,15588367.71264398,1028.3242768417429,1126791.2582245125,74.33150328019741,384156.2816221573,25.34179573996684,814721.7695164409,53.745086715247766,15159,2325669.309363111,17914037.02200709,153.41838573541202,1181.7426625771548
1067,henry,7734190.605693732,450.0023625818195,686297.1029001715,39.93117489382507,448163.58406028687,26.075730730219753,1127505.8969243804,65.60225152291734,17187,2261966.583884839,9996157.18957857,131.6091571469622,581.6115197287817
1069,houston,60575981.25535155,583.0724630175044,6263568.002357135,60.289803759297094,2709033.7412932604,26.075730730219753,7283365.712084816,70.1058389281537,103891,16255967.45573521,76831948.71108676,156.47137341767055,739.543836435175
1071,jackson,29427333.02291719,559.3699251618991,2869263.035802963,54.54043179369988,1268600.4371167582,24.114211471957844,3293270.5055883783,62.60018448883018,52608,7431133.9785081,36858467.00142529,141.2548277544879,700.624752916387
1073,jefferson,1031838154.8140107,1565.5354528232772,68701567.26765145,104.23605554828349,18312230.57570898,27.78385937057573,58927674.48381157,89.4068155227942,659096,145941472.327172,1177779627.1411827,221.42673044165343,1786.9621832649304
1075,lamar,10215999.15737438,726.290285608871,820553.5204480158,58.335953394569586,339190.498564559,24.11421147195784,796191.9930843515,56.6040091770476,14066,1955936.0120969263,12171935.169471307,139.05417404357502,865.3444596524461
1077,lauderdale,51983223.34203799,561.1254557057673,5206838.569183949,56.20447284878131,2233964.664973646,24.114211471957837,5912483.365585809,63.82145449191836,92641,13353286.599743403,65336509.941781394,144.1401388126575,705.2655945184248
1079,lawrence,28531783.936054442,853.4018465604177,2386674.0363558736,71.386774634519,806210.4321419663,24.114211471957834,2254676.1629782626,67.4386433457441,33433,5447560.631476102,33979344.56753054,162.93962945222094,1016.3414760126385
1081,lee,53441648.3546803,347.14316196275536,6086825.071794159,39.53844551562654,3901293.4287806754,25.34179573996684,10804481.950131496,70.18312763568953,153947,20792600.450706333,74234248.80538663,135.06336889128292,482.2065308540383
1083,limestone,43432991.17108467,481.21465560659755,4360865.057765089,48.31608692694294,2176476.3848244986,24.114211471957837,7491413.700156771,83.00091627415902,90257,14028755.14274636,57461746.31383103,155.4312146730598,636.6458702796573
1085,lowndes,11986090.208930075,1134.5092483606318,782478.3111991187,74.06325709409548,267736.07199274964,25.341795739966837,520532.75267141487,49.26954592251916,10565,1570747.1358632832,13556837.344793359,148.67459875658147,1283.1838471172134
