state.name,criminal_cost,health_cost,productivity_cost,death_cost,total_nonfatal_cost,total_cost,total_population,criminal_cost_pc,health_cost_pc,productivity_cost_pc,death_cost_pc,per_capita_nf_cost,per_capita_total_cost,region
missouri,112802986.45439589,728236871.0057971,326580410.0965725,13704313097.93907,1167620267.5567656,14871933365.495834,6075300,18.56747591960823,119.86846262831418,53.75543760745519,2255.742613194257,192.1913761553776,2447.9339893496344,missouri
montana,41095720.110028505,91266573.82809196,84636698.73184803,600087029.746823,216998992.6699685,817086022.4167914,1029862,39.904103763444525,88.62019749062686,82.18256303451145,582.6868354661333,210.70686428858284,793.3936997547161,montana
nebraska,72462519.79086173,114133887.94364475,213926217.09564775,865241763.8210003,400522624.83015424,1265764388.6511545,1893921,38.26058203634773,60.263278111201444,112.95413963710617,456.8520882449692,211.47799978465534,668.3300880296246,nebraska
nevada,315234697.7349932,249014097.5628288,655141533.6749165,6293936056.181793,1219390328.9727385,7513326385.1545315,2887725,109.163683430726,86.23192913550591,226.8711645585769,2179.5482797641025,422.2667771248088,2601.8150568889114,nevada
new hampshire,40631654.03149776,276689742.82665014,167794865.4371583,6070647859.066696,485116262.2953062,6555764121.362002,1331848,30.507726130532735,207.74873921547365,125.98649803668158,4558.063577124939,364.24296338268795,4922.306540507628,new hampshire
new jersey,423775705.7677076,961033625.6122375,1277065781.8204272,28566933718.41271,2661875113.200372,31228808831.61308,8960161,47.295545891162845,107.2562898827641,142.52710211573512,3188.2165642350296,297.07893788966203,3485.2955021246917,new jersey
new mexico,90162936.1009053,225370636.1559987,146921061.9493748,5065850972.04876,462454634.2062788,5528305606.255039,2084828,43.24718207013015,108.10034983989024,70.47155062641849,2429.8651841057203,221.81908253643888,2651.684266642159,new mexico
new york,438864450.0607805,3042522174.458636,887717036.3034749,47197542665.203606,4369103660.822891,51566646326.0265,19798228,22.16685503676291,153.67648935342274,44.838206545731005,2383.927625502828,220.68155093591665,2604.6091764387447,new york
north carolina,NA,NA,NA,NA,NA,NA,10052564,NA,NA,NA,NA,NA,NA,north carolina
north dakota,22976083.607309148,68801395.27106085,60260715.08085505,627998054.38621,152038193.95922506,780036248.345435,745475,30.820729880021663,92.29202222886194,80.83532657816164,842.413299421456,203.94807868704524,1046.3613781085014,north dakota
