Census Division Code,Year,urbanization,cost,cost_pc,total_deaths,Census Division
CENS-D4,2010,Fringe/Small/Medium Metro,11118.1566860657,2833.9420895700828,1240,West North Central
CENS-D4,2010,Micropolitan/Rural,4258.55514452968,1306.376884249183,1240,West North Central
CENS-D4,2011,Large Central Metro,3473.808207812394,1297.3802257776845,1322,West North Central
CENS-D4,2011,Fringe/Small/Medium Metro,11827.345788003355,2926.4771463804727,1322,West North Central
CENS-D4,2011,Micropolitan/Rural,4128.039524079266,1272.9205304937143,1322,West North Central
CENS-D4,2012,Large Central Metro,3544.302893587771,1312.5701154317765,1318,West North Central
CENS-D4,2012,Fringe/Small/Medium Metro,11289.051769279313,2808.2744345777683,1318,West North Central
CENS-D4,2012,Micropolitan/Rural,4193.368647273712,1285.6878966569236,1318,West North Central
CENS-D4,2013,Large Central Metro,3895.5841939910574,1430.1473891851758,1409,West North Central
CENS-D4,2013,Fringe/Small/Medium Metro,11374.768904268853,2775.4217630409416,1409,West North Central
CENS-D4,2013,Micropolitan/Rural,4431.64507708164,1359.2801489102153,1409,West North Central
CENS-D4,2014,Large Central Metro,4052.659942417571,1476.201920577669,1542,West North Central
CENS-D4,2014,Fringe/Small/Medium Metro,12565.810844735184,3041.2047435669256,1542,West North Central
CENS-D4,2014,Micropolitan/Rural,4154.592173735828,1276.8462705058757,1542,West North Central
CENS-D4,2015,Large Central Metro,3876.9056522602204,1402.3438022492378,1536,West North Central
CENS-D4,2015,Fringe/Small/Medium Metro,12407.197336433985,3002.4404965502395,1536,West North Central
CENS-D4,2015,Micropolitan/Rural,4088.3100532305634,1252.5021797015218,1536,West North Central
CENS-D4,2016,Large Central Metro,5632.0442950136285,2028.5881342984042,1849,West North Central
CENS-D4,2016,Fringe/Small/Medium Metro,14567.052886479989,3434.7425564652153,1849,West North Central
CENS-D4,2016,Micropolitan/Rural,3926.3450850652735,1212.2129481515449,1849,West North Central
CENS-D4,2017,Large Central Metro,5685.001938831922,2024.9202013706488,1925,West North Central
CENS-D4,2017,Fringe/Small/Medium Metro,14205.403962620452,3324.523965562445,1925,West North Central
CENS-D4,2017,Micropolitan/Rural,4267.6675557678755,1319.9932566487275,1925,West North Central
CENS-D4,2018,Large Central Metro,5444.4386080546055,1935.6056290352315,1989,West North Central
CENS-D4,2018,Fringe/Small/Medium Metro,15735.80676658655,3597.777847099073,1989,West North Central
CENS-D4,2018,Micropolitan/Rural,3707.799288488934,1151.5713573212754,1989,West North Central
CENS-D5,2007,Large Central Metro,13891.123562997444,1216.969575855791,4455,South Atlantic
CENS-D5,2007,Fringe/Small/Medium Metro,40549.023169829285,3131.4318608973444,4455,South Atlantic
CENS-D5,2007,Micropolitan/Rural,10312.71051404125,2816.4809102789914,4455,South Atlantic
CENS-D5,2008,Large Central Metro,13069.587166296244,1130.5976877894916,4549,South Atlantic
CENS-D5,2008,Fringe/Small/Medium Metro,44433.940939870816,3439.2782173073797,4549,South Atlantic
CENS-D5,2008,Micropolitan/Rural,11223.991566753932,3056.621224075532,4549,South Atlantic
CENS-D5,2009,Large Central Metro,14622.430979118491,1248.1149921249091,4655,South Atlantic
CENS-D5,2009,Fringe/Small/Medium Metro,46023.01604063453,3401.7598079878003,4655,South Atlantic
CENS-D5,2009,Micropolitan/Rural,9802.048649209728,2655.8571372798083,4655,South Atlantic
CENS-D5,2010,Large Central Metro,13361.435724569894,1127.650853054685,4923,South Atlantic
CENS-D5,2010,Fringe/Small/Medium Metro,48587.42479329167,3712.027628178616,4923,South Atlantic
CENS-D5,2010,Micropolitan/Rural,11890.407506187315,3230.861677470941,4923,South Atlantic
CENS-D5,2011,Large Central Metro,14616.781396760663,1208.7807734708854,5176,South Atlantic
CENS-D5,2011,Fringe/Small/Medium Metro,50329.18137877336,3921.323418134597,5176,South Atlantic
CENS-D5,2011,Micropolitan/Rural,12751.995906519325,3456.440912325372,5176,South Atlantic
CENS-D5,2012,Large Central Metro,13740.18505148833,1117.5418648796483,4878,South Atlantic
CENS-D5,2012,Fringe/Small/Medium Metro,45305.06473482542,3474.1800075915394,4878,South Atlantic
CENS-D5,2012,Micropolitan/Rural,11974.943458685371,3245.0638911444935,4878,South Atlantic
CENS-D5,2013,Large Central Metro,13035.350278074022,1047.0525862567436,5059,South Atlantic
CENS-D5,2013,Fringe/Small/Medium Metro,48435.50851973195,3605.772897350842,5059,South Atlantic
CENS-D5,2013,Micropolitan/Rural,10236.256591419757,2790.775613232486,5059,South Atlantic
CENS-D5,2014,Large Central Metro,15275.824372113793,1207.6754819542143,6161,South Atlantic
CENS-D5,2014,Fringe/Small/Medium Metro,56179.11231204137,4104.103857125882,6161,South Atlantic
CENS-D5,2014,Micropolitan/Rural,12225.691371738936,3309.811407151062,6161,South Atlantic
CENS-D5,2015,Large Central Metro,18484.895082131115,1437.602679682582,7367,South Atlantic
CENS-D5,2015,Fringe/Small/Medium Metro,68658.3364237413,4851.084045188092,7367,South Atlantic
CENS-D5,2015,Micropolitan/Rural,12503.268956170063,3401.9244489854646,7367,South Atlantic
CENS-D5,2016,Large Central Metro,28556.070308579056,2193.5703802496078,10121,South Atlantic
