state.name,criminal_cost,health_cost,productivity_cost,death_cost,total_nonfatal_cost,total_cost,total_population,criminal_cost_pc,health_cost_pc,productivity_cost_pc,death_cost_pc,per_capita_nf_cost,per_capita_total_cost,region
maine,33272112.487660524,189113810.58388206,119925866.8649709,4349978514.634966,342311789.9365135,4692290304.57148,1329100,25.033565937597263,142.28711954245887,90.23088320289737,3272.8752649424164,257.5515686829535,3530.4268336253704,maine
maryland,200646768.4434619,1150987627.5043745,601157909.5615859,24243132551.431187,1952792305.5094223,26195924856.94061,5930538,33.83281052131559,194.07811357154688,101.36650495479262,4087.847097755918,329.27742904765506,4417.124526803573,maryland
massachusetts,202206152.81216022,1226290733.0889583,753049984.450231,28110459373.30994,2181546870.3513494,30292006243.66129,6705586,30.154881737727354,182.87599817360604,112.30189046121114,4192.0958695198215,325.33277037254453,4517.428639892366,massachusetts
michigan,281873454.55248016,1276818869.6474845,808460584.9677922,23889086522.09845,2367152909.167757,26256239431.266205,9900571,28.470424034379448,128.964164758526,81.65797558219542,2412.8998743707257,239.0925643751009,2651.9924387458263,michigan
minnesota,131340564.80957581,942293477.5827106,445822201.2468141,5277485577.344325,1519456243.6391006,6796941820.983425,5419171,24.23628352188477,173.881480688229,82.26760167686425,973.8547791432168,280.38536588697804,1254.2401450301948,minnesota
mississippi,66883678.690849595,199845669.50051835,183369303.19530118,2442699489.3597775,450098651.38666916,2892798140.7464466,2988081,22.383489166073343,66.88094114601256,61.366911805704454,817.4810151932887,150.63134211779035,968.1123573110791,mississippi
missouri,137580168.65388584,182069382.51231483,443760885.4035213,12649636727.184738,763410436.5697219,13413047163.75446,6045448,22.75764652245555,30.116772572076517,73.40413570731587,2092.423378248351,126.27855480184793,2218.701933050199,missouri
montana,32062910.57429877,182069382.51231483,72370122.97746992,542133142.4090637,286502416.0640835,828635558.4731472,1014699,31.59844503079117,179.43191282569,71.32176436309676,534.2797641557385,282.35212221957795,816.6318863753164,montana
nebraska,43981439.000697084,151279270.43520525,136077938.15403923,595394107.3933455,331338647.58994156,926732754.9832871,1869365,23.527475373026178,80.92548562490752,72.7936695904969,318.5007247880138,177.2466305884306,495.74735537644443,nebraska
nevada,101176147.36359383,330056845.3953501,233161896.2421471,5502418168.24529,664394889.001091,6166813057.246381,2798636,36.15194950811532,117.93489592621195,83.31269098308857,1966.1071208421852,237.39953641741585,2203.506657259601,nevada
new hampshire,32015617.723055966,182069382.51231486,143360485.643986,6231453558.256102,357445485.8793568,6588899044.135458,1324201,24.177309730966797,137.4937660614324,108.26187689330094,4705.821516715439,269.9329526857001,4975.754469401139,new hampshire
new jersey,266631794.64458895,1273806302.10464,879770832.5514008,19731499660.842697,2420208929.3006296,22151708590.143326,8904413,29.943781206530847,143.05337163770818,98.80166525872067,2215.9236842274386,271.7988181029597,2487.722502330398,new jersey
new mexico,54390271.35966764,298718514.1018935,100135060.48833314,4740977991.200268,453243845.9498943,5194221837.150162,2084117,26.097513411995408,143.33097139071054,48.046755766750685,2274.8137418389983,217.47524056945667,2492.288982408455,new mexico
new york,722459351.7599792,182069382.51231483,1541313807.0058334,40940889485.016556,2445842541.2781277,43386732026.294685,19673174,36.7230702966374,9.254703003811933,78.34596527260082,2081.0515621432796,124.32373857305016,2205.37530071633,new york
north carolina,232462323.98967433,1094334043.6418629,698691749.9425153,21233120465.86233,2025488117.5740523,23258608583.436382,9845333,23.611423198146202,111.15256778433628,70.96679715582147,2156.6685927090866,205.73078813830395,2362.3993808473906,north carolina
north dakota,19803194.2154356,91193115.9890871,56475371.906962775,726865818.9143283,167471682.11148548,894337501.0258138,721640,27.441929792466606,126.3692644380676,78.2597581993276,1007.2415870992854,232.07095242986182,1239.3125395291472,north dakota
ohio,341388142.1991595,182069382.51231483,925126304.8046563,50758044237.303024,1448583829.5161304,52206628066.81915,11575977,29.491086773855848,15.72820873022768,79.91777323025575,4384.774109114334,125.13706873433927,4509.911177848673,ohio
oklahoma,89989667.79710509,281314283.9141783,258507313.0465477,5754382641.270972,629811264.7578311,6384193906.028803,3849733,23.37556079788003,73.07371288195267,67.14941349089605,1494.7485036679095,163.59868717072874,1658.3471908386382,oklahoma
