region,county.name,state.name,death_cost,death_cost_pc,health_cost,health_cost_pc,criminal_cost,criminal_cost_pc,productivity_cost,productivity_cost_pc,total_population,nonfatal_cost,total_cost,per_capita_nf_cost,per_capita_total_cost
1031,coffee,alabama,75737471.37465023,1482.9258389883153,4317509.177410456,84.53604012708195,1239079.872302008,24.260957302332116,3660308.5489785895,71.66817200827423,51073,9216897.598691054,84954368.97334129,180.46516943768827,1663.3910084260037
1033,colbert,alabama,61608833.76069275,1131.787154600767,3972476.806291257,72.97651889944441,1221301.071904591,22.435952455306165,3430463.0831398857,63.019437551940584,54435,8624240.961335734,70233074.7220285,158.43190890669118,1290.2190635074583
1035,conecuh,alabama,22908926.606933482,1811.1255124463185,1064707.2290852463,84.17323338487203,306876.84891719883,24.26095730233211,514609.7441756406,40.68382830070682,12649,1886193.8221780858,24795120.429111566,149.11801898791097,1960.2435314342292
1037,coosa,alabama,15877931.964274831,1449.3776325216643,765802.9344508215,69.90442121869663,283189.01299269265,25.850206571674363,639031.0065088099,58.33236024726699,10955,1688022.953952324,17565954.918227155,154.08698803763798,1603.4646205593021
1039,covington,alabama,57205023.728032686,1524.6947873885947,3345639.45415447,89.17187169579333,910246.8570261984,24.26095730233211,1863779.344609425,49.67561354538834,37519,6119665.655790092,63324689.38382278,163.10844254351375,1687.8032299321085
1041,crenshaw,alabama,17149891.43026398,1236.830479609403,939458.9128414143,67.75269817116792,336402.4339541371,24.260957302332113,751388.1324093577,54.18924941651217,13866,2027249.4792049092,19177140.90946889,146.2029048900122,1383.033384499415
1043,cullman,alabama,112987809.70014493,1382.9089470416623,7658977.465719931,93.74169205194339,1833084.6234558793,22.43595245530616,4591404.971417653,56.19628375234267,81703,14083467.060593463,127071276.7607384,172.37392825959222,1555.2828753012545
1045,dale,alabama,53493025.21100378,1083.008224060166,3410223.820608917,69.04265423458622,1198321.4640340896,24.260957302332102,2924466.5790053713,59.20811813425731,49393,7533011.863648377,61026037.07465216,152.51172967117563,1235.5199537313417
1047,dallas,alabama,51376543.01018811,1260.6193843746316,2726739.066363784,66.90563283925368,960925.5243943072,23.57810144508176,1696403.5701204415,41.62442817127816,40755,5384068.160878533,56760611.17106664,132.1081624556136,1392.7275468302453
1049,dekalb,alabama,112987809.70014493,1587.0411790339767,6100306.986703451,85.68568961855564,1597305.1991030667,22.435952455306158,3526701.301092966,49.536496068390115,71194,11224313.486899484,124212123.18704441,157.65813814225194,1744.6993171762285
1051,elmore,alabama,91596904.8147577,1130.9795751862316,5840331.160018775,72.11264690289761,1909566.8579357269,23.578101445081764,6583299.262845089,81.28633842676275,80989,14333197.28079959,105930102.0955573,176.97708677474213,1307.9566619609736
1053,escambia,alabama,103572158.89179954,2753.041091193736,6109429.597836032,162.39413087998807,912721.4746710362,24.26095730233211,1935925.7187199867,51.45864593498277,37621,8958076.791227054,112530235.6830266,238.11373411730293,2991.154825311039
